,metric,step_0,step_1,step_2,step_3,step_4,step_5,step_6,step_7,importance
595,manhattan,sentence_to_doc,get_tokens,get_token_text,remove_non_alnum,get_characters,,,,0.0001949618085090676
950,euclidean,sentence_to_doc,chunk_NEs,lemmatize_tokens,remove_non_alnum,get_characters,get_2grams,,,0.00019488495737034778
55,manhattan,sentence_to_doc,get_tokens,get_synsets,get_2grams,,,,,0.00019463426883858934
150,euclidean,sentence_to_doc,get_tokens,lemmatize_tokens,remove_non_alnum,get_2grams,,,,0.0001934164390666248
207,manhattan,sentence_to_doc,get_tokens,get_synsets,get_characters,get_4grams,,,,0.0001930034704866585
126,euclidean,sentence_to_doc,chunk_NEs,get_synsets,get_4grams,,,,,0.00019269794216069785
121,cosine,sentence_to_doc,chunk_NEs,get_synsets,get_3grams,,,,,0.00019247909202321062
865,cosine,sentence_to_doc,get_tokens,get_stopwords,get_synsets,remove_non_alnum,,,,0.0001919012367698407
1607,manhattan,sentence_to_doc,chunk_NEs,remove_stopwords,lemmatize_tokens,remove_non_alnum,get_characters,get_2grams,,0.000191728609916374
1609,cosine,sentence_to_doc,chunk_NEs,remove_stopwords,lemmatize_tokens,remove_non_alnum,get_characters,get_3grams,,0.000190199210879073
860,jaccard,sentence_to_doc,get_tokens,get_stopwords,get_synsets,get_characters,get_4grams,,,0.00019009380375160608
418,euclidean,sentence_to_doc,chunk_NEs,get_synsets,get_characters,,,,,0.00018984984127543293
1218,euclidean,sentence_to_doc,chunk_NEs,get_stopwords,get_synsets,get_characters,,,,0.00018972486625207244
1646,euclidean,sentence_to_doc,chunk_NEs,remove_stopwords,get_synsets,remove_non_alnum,get_characters,get_4grams,,0.00018955724756819934
856,jaccard,sentence_to_doc,get_tokens,get_stopwords,get_synsets,get_characters,get_3grams,,,0.00018909742106996567
602,euclidean,sentence_to_doc,get_tokens,get_token_text,remove_non_alnum,get_characters,get_3grams,,,0.00018832221746468622
1169,cosine,sentence_to_doc,chunk_NEs,get_stopwords,lemmatize_tokens,remove_non_alnum,,,,0.00018807855218245907
606,euclidean,sentence_to_doc,get_tokens,get_token_text,remove_non_alnum,get_characters,get_4grams,,,0.00018766089802703102
22,euclidean,sentence_to_doc,get_tokens,lemmatize_tokens,get_2grams,,,,,0.0001876252446933651
1225,cosine,sentence_to_doc,chunk_NEs,get_stopwords,get_synsets,get_characters,get_3grams,,,0.0001867918296707957
526,euclidean,sentence_to_doc,chunk_NEs,get_stopwords,get_pos_tags,get_4grams,,,,0.0001867851710256615
510,euclidean,sentence_to_doc,chunk_NEs,remove_stopwords,get_synsets,get_4grams,,,,0.00018637495363839826
512,jaccard,sentence_to_doc,chunk_NEs,get_stopwords,get_pos_tags,,,,,0.0001861579759134296
285,cosine,sentence_to_doc,get_tokens,remove_stopwords,get_synsets,get_4grams,,,,0.00018608389518965168
946,euclidean,sentence_to_doc,chunk_NEs,lemmatize_tokens,remove_non_alnum,get_characters,,,,0.00018605118812847594
61,cosine,sentence_to_doc,get_tokens,get_synsets,get_4grams,,,,,0.00018576407030442064
1777,cosine,sentence_to_doc,chunk_NEs,get_stopwords,get_synsets,remove_non_alnum,get_characters,,,0.00018521595177423968
363,manhattan,sentence_to_doc,chunk_NEs,lemmatize_tokens,get_characters,get_3grams,,,,0.00018502557724319453
1498,euclidean,sentence_to_doc,get_tokens,get_stopwords,get_synsets,remove_non_alnum,get_characters,get_3grams,,0.0001846149330517717
448,jaccard,sentence_to_doc,chunk_NEs,remove_stopwords,get_pos_tags,,,,,0.0001844551240679436
687,manhattan,sentence_to_doc,get_tokens,remove_stopwords,get_token_text,remove_non_alnum,get_4grams,,,0.00018417508000044506
302,euclidean,sentence_to_doc,get_tokens,get_stopwords,get_pos_tags,get_4grams,,,,0.00018391844166065462
683,manhattan,sentence_to_doc,get_tokens,remove_stopwords,get_token_text,remove_non_alnum,get_3grams,,,0.00018318796162045592
1494,euclidean,sentence_to_doc,get_tokens,get_stopwords,get_synsets,remove_non_alnum,get_characters,get_2grams,,0.00018315962626086276
1045,cosine,sentence_to_doc,chunk_NEs,remove_stopwords,get_token_text,remove_non_alnum,get_2grams,,,0.00018167380153525373
45,cosine,sentence_to_doc,get_tokens,get_token_text,get_4grams,,,,,0.0001810242007384159
1334,euclidean,sentence_to_doc,get_tokens,remove_stopwords,get_token_text,remove_non_alnum,get_characters,get_2grams,,0.00018070437430494184
518,euclidean,sentence_to_doc,chunk_NEs,get_stopwords,get_pos_tags,get_2grams,,,,0.00018026395888583088
804,jaccard,sentence_to_doc,get_tokens,get_stopwords,lemmatize_tokens,remove_non_alnum,get_2grams,,,0.00017957440074190553
1051,manhattan,sentence_to_doc,chunk_NEs,remove_stopwords,get_token_text,remove_non_alnum,get_3grams,,,0.00017864821804502046
1216,jaccard,sentence_to_doc,chunk_NEs,get_stopwords,get_synsets,get_characters,,,,0.0001784583713846727
131,manhattan,sentence_to_doc,get_tokens,lemmatize_tokens,get_characters,,,,,0.00017829829806529198
947,manhattan,sentence_to_doc,chunk_NEs,lemmatize_tokens,remove_non_alnum,get_characters,,,,0.00017798863928683456
1007,manhattan,sentence_to_doc,chunk_NEs,remove_stopwords,lemmatize_tokens,get_characters,get_4grams,,,0.0001778465318998168
1647,manhattan,sentence_to_doc,chunk_NEs,remove_stopwords,get_synsets,remove_non_alnum,get_characters,get_4grams,,0.00017783509400669565
1745,cosine,sentence_to_doc,chunk_NEs,get_stopwords,lemmatize_tokens,remove_non_alnum,get_characters,,,0.00017769372405406124
1764,jaccard,sentence_to_doc,chunk_NEs,get_stopwords,get_token_text,remove_non_alnum,get_characters,get_2grams,,0.0001773324403674226
638,euclidean,sentence_to_doc,get_tokens,remove_stopwords,lemmatize_tokens,get_characters,get_4grams,,,0.00017725551311898458
831,manhattan,sentence_to_doc,get_tokens,get_stopwords,get_token_text,get_characters,get_4grams,,,0.00017650824252764862
1058,euclidean,sentence_to_doc,chunk_NEs,remove_stopwords,get_synsets,get_characters,,,,0.0001757134985264386
63,manhattan,sentence_to_doc,get_tokens,get_synsets,get_4grams,,,,,0.00017512660070044534
1083,manhattan,sentence_to_doc,chunk_NEs,remove_stopwords,get_synsets,remove_non_alnum,get_3grams,,,0.00017437779482158791
627,manhattan,sentence_to_doc,get_tokens,remove_stopwords,lemmatize_tokens,get_characters,,,,0.0001742105198022145
522,euclidean,sentence_to_doc,chunk_NEs,get_stopwords,get_pos_tags,get_3grams,,,,0.000174174066492415
218,euclidean,sentence_to_doc,get_tokens,get_synsets,remove_non_alnum,get_3grams,,,,0.00017383673626428223
785,cosine,sentence_to_doc,get_tokens,get_stopwords,lemmatize_tokens,get_characters,,,,0.00017366785938190656
372,jaccard,sentence_to_doc,chunk_NEs,lemmatize_tokens,remove_non_alnum,get_2grams,,,,0.000173455006962359
67,manhattan,sentence_to_doc,chunk_NEs,get_pos_tags,,,,,,0.00017333516166118847
265,cosine,sentence_to_doc,get_tokens,remove_stopwords,get_token_text,get_3grams,,,,0.00017321690016016753
523,manhattan,sentence_to_doc,chunk_NEs,get_stopwords,get_pos_tags,get_3grams,,,,0.0001726289692951155
527,manhattan,sentence_to_doc,chunk_NEs,get_stopwords,get_pos_tags,get_4grams,,,,0.00017241146291507045
431,manhattan,sentence_to_doc,chunk_NEs,get_synsets,get_characters,get_4grams,,,,0.00017209653771865853
1165,cosine,sentence_to_doc,chunk_NEs,get_stopwords,lemmatize_tokens,get_characters,get_4grams,,,0.00017185882107745488
519,manhattan,sentence_to_doc,chunk_NEs,get_stopwords,get_pos_tags,get_2grams,,,,0.00017151453046939383
1348,jaccard,sentence_to_doc,get_tokens,remove_stopwords,get_synsets,remove_non_alnum,get_characters,get_2grams,,0.00017143049777086465
1472,jaccard,sentence_to_doc,get_tokens,get_stopwords,get_token_text,remove_non_alnum,get_characters,,,0.00017091434373968747
1070,euclidean,sentence_to_doc,chunk_NEs,remove_stopwords,get_synsets,get_characters,get_4grams,,,0.00017085736785936686
1013,cosine,sentence_to_doc,chunk_NEs,remove_stopwords,lemmatize_tokens,remove_non_alnum,get_2grams,,,0.00017081313084718123
462,euclidean,sentence_to_doc,chunk_NEs,remove_stopwords,get_pos_tags,get_4grams,,,,0.00017028262866008434
